termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1164","004339","Advanced Syntax","Edwin S. Williams","LIN 412","EC","LIN 302 or by application.","How Chomsky's minimalist program has revolutionized syntactic theory and the study of language more generally. Explication and evaluation of minimalist approaches to syntactic derivation and representation  including the role of economy and other principles of efficient computation. One focus will be the empirical basis of these proposals."
"1164","003143","Advanced German","Mareike Stoll ","GER 107","","GER 105 or permission of instructor..","Continues improvement of proficiency in speaking  listening  reading  and writing using texts  online media  and other sources as a basis for class discussion. Grammar review is included. Conducted in German."
"1164","009169","Intermediate Swahili II","Mahiri Mwita","SWA 107","","Intermediate Swahili I (SWA 105) or the equivalent level of proficiency..","This course emphasizes conversational fluency and increased facility in reading and writing skills while introducing students to Swahili literature. This literature forms the basis for a survey on cultural aspects and more advanced grammer. Students will be able to understand and analyze the main ideas and significant details of materials in Swahili such as media articles  short stories  poetry  short novels  films and plays illustrative of East African cultural issues. Covers advanced-level Swahili grammar  as well as the development of expository writing skills."
"1164","007996","Fundamentals of Statistics","Samory K. Kpotufe","ORF 245 EGR 245","QR","MAT 201 concurrent or equivalent.","A first introduction to probability and statistics. This course will provide background to understand and produce rigorous statistical analysis including estimation  confidence intervals  hypothesis testing and regression. Applicability and limitations of these methods will be illustrated in the light of modern data sets and manipulation of the statistical software R. Precepts are based on real data analysis."
"1164","012597","The Modern World: Middle Eastern Perspectives","Cyrus Schayegh","NES 412","HA","","Although the Middle East is often seen as exceptional  it is part of our globe: through connections and in being part of worldwide processes. This seminar's double goal is to study the Middle East from this perspective  and thereby also to explore how the modern world emerged. We will use Irye  Osterhammel  and Rosenberg  ed.  A History of the World  2 vols.  covering 1870 to the present  as the backbone of the course; and in parallel read case studies on the Middle East in the world  including global cultural patterns  social webs  economic ties  imperial action  state building and international system  and the spread of political ideas."
"1164","011543","Religions of Late Antiquity Workshop","Moulie Vidas","REL 526","","REL 525.","A weekly  year-long workshop providing students in the Religions of Late Antiquity with the opportunity to present their current research for discussion. Note: REL 525 (fall) and REL 526 (spring) constitute this year-long workshop. In order to receive credit and/or a grade  students must take the course both semesters."
"1164","010061","Topics in Policy Analysis (Half-Term) - Urbanization  Migration and Climate Change","Deborah L. Balk","WWS 594","","","This course examines two hallmark demographic behaviors of the 21st century: urbanization and migration and places those changes in the context of climate-change adaptation and mitigation  and consider policy and programs that address these issues. The course focuses on changes in a developing-country context. Students learn to examine theory and evidence that is used at the local  national and international level to understand populations at risk in the short and long-run  internal and international migration flows  city-growth and urban dynamism in the context of climate change related hazards."
"1164","000382","Advanced Topics in Modern Architecture - The Perversions of Modern Architecture","Beatriz Colomina","ARC 576 MOD 502 ART 598","","","Modern architecture was never straightforward. Despite the surface rhetoric of rationality  clarity and efficiency  modern architects were engaged with everything that escapes rationality: sexuality  violence  exoteric philosophies  occultism  disease  the psyche  pharmacology  extraterrestrial life  artificial intelligence  chance  the primitive  the fetish  etc. Through a series of case studies from the early twentieth century till today  of both mainstream figures and misfits  the class will explore the backwaters of modern architecture to reveal the astonishing richness and eccentricity of the field."
"1164","009513","Elementary Hindi and Urdu II","Robert L. Phillips","HIN 102 URD 102","","HIN/URD 101 or the equivalent level of proficiency..","This course provides the second semester of training in Hindi and Urdu  allowing students to acquire linguistic skills in culturally authentic contexts. Equal emphasis is placed on both Hindi and Urdu  including writing systems  vocabulary  and culture. Course will focus on using language for communication. Students will be able to read and write both Hindi and Urdu scripts  communicate in social situations  and narrate in all three time frames: past  present and future. Classes are interactive."
"1164","002559","Nonlinear Optics","Jason W. Fleischer","ELE 553 MSE 553","","ELE 351 or ELE 352 or Permission Of Instructor..","Introduction to nonlinear optics  second harmonic generation  parametric amplification and oscillation  the electro-optic effect  third order nonlinearities  phase-conjugate optics  photorefractive nonlinear optics  solitons."
"1164","012192","Environmental Engineering and Energy","Catherine A. Peters","CEE 304 ENE 304 ENV 300","","CHM 201 and MAT 104 (can be taken concurrently) or permission of the instructor.","In our sustainable future  the world's energy needs will be met while protecting natural resources and minimizing risks to human health. The course covers the environmental and geological engineering principles relevant to the entire energy supply chain from mining and extraction of fuels  to power production  to disposal of wastes and sequestration of greenhouse gases. Both conventional and renewable energy are considered. Students will learn the engineering principles and practices to address environmental challenges and to find the best ways to utilize earth systems to our advantage."
"1164","013610","Empire and Global Regimes","Michael A. Reynolds","NES 529","","","Course investigates the relationship of empires to global regimes and processes. Students apply theoretical perspectives on empires and global regimes drawn from the disciplines of history  political science  and sociology  and seek to develop their understanding of the role of empires as mantles of global exchange and as sources of the rules and norms that have governed global affairs. Offered as part of a John E. Sawyer Seminar  this one-time-only course features five guest lecturers."
"1164","005541","Luso-Brazilian Seminar - Cities and Nature","Bruno M. Carvalho Lilia K. Moritz Schwarcz","POR 562 COM 562 LAS 562 AAS 564","","","Brazilian society has become one of the most urbanized in the world. At the same time  many of the more widely circulating images of the country pertain to natural landscapes. In this course we study how ideas of city and nature have been constructed in opposition and complementarity  focusing on the 18th and 19th centuries. Emphasis is placed on Lusophone engagement with \"non-western\" epistemologies  urbanization  and \"the production of nature.\" Topics to include transatlantic circulation of knowledge; slavery and the natural sciences; city planning and race; literature  visual arts  and spatial imaginaries."
"1164","000728","Dynamics of Stellar and Planetary Systems","Jeremy J. Goodman","AST 513","","","Galactic structure  morphology and dynamics. Equilibrium and stability of stellar systems. The gravitational N-body problem  relaxation  dynamical friction  and the Fokker-Planck equation. Encounters and mergers of stellar systems. Spiral structure. Elements of planetary dynamics and celestial mechanics."
